user_posting_tweet,user_mentioned,Type
kjohan73,verge,0
DocTalbott,YouTube,0
laneo123,YouTube,0
mmunozzzz28,KevinHart4real,0
triswimrob,YouTube,0
Sebbyz,YouTube,0
MarkVozzo,elonmusk,0
MarkVozzo,BillGates,0
SirTylerBurns,TheOnion,0
cafeicultura,YouTube,0
lil_skyscraper_,ddlovato,0
BenIrwinG,YouTube,0
andres_vip,Pontifex,0
EasternShorb,katyperry,0
ehoantonio,YouTube,0
mohamme00588919,YouTube,0
smartshoot,YouTube,0
callmecase,YouTube,0
Swifty448,taylorswift13,0
katiebethmusic,YouTube,0
SGomezRare_,YouTube,0
saoirse_rae97,YouTube,0
Jasski81,YouTube,0
Vidur_Patel,BillGates,0
SelenatoorTeam,selenagomez,0
wonwoodaesang,onedirection,0
EazeeBREEZY1,chrisbrown,0
Abril7,YouTube,0
mandolin1001,ABC,0
ShAdOwXPR,YouTube,0
CproductionRec,NBA,0
lkirkland2,NBCNews,0
sullyisback,BillGates,0
CrzyPatsfan,NFL,0
TrailerMedia,YouTube,0
deelitefully1,NBA,0
MB_JENESIS,Beyonce,0
MB_JENESIS,kanyewest,0
momensity_prime,YouTube,0
xzuriel,Forbes,0
GiulianaRancic,enews,0
wonwoodaesang,onedirection,0
toaster92_,YouTube,0
tidy1,YouTube,0
gullysports,YouTube,0
enota0,BillGates,0
CrzyPatsfan,NFL,0
Georgiee_Porgie,ladygaga,0
Furby8704,BillGates,0
aka_opex,YouTube,0
OmgitzTyler247,chrisbrown,0
OU182,ABC,0
Hanouda8,YouTube,0
Joep_M,YouTube,0
frankcingles,Forbes,0
mamanesser,Drake,0
SteveAyscue,YouTube,0
TerryCharlotte,KingJames,0
TerryCharlotte,Oprah,0
9Yai_Live,YouTube,0
njhiredgun,YouTube,0
CyrilBelikoff,YouTube,0
tvgurl,Drake,0
susantran,YouTube,0
TrailerMedia,YouTube,0
fluffme,YouTube,0
LOVEANDLIGHT100,Usher,0
Not_POTUS_17,BillGates,0
lauromonteiro,Drake,0
RealMatSmith,YouTube,0
pearvc,BillGates,0
chadpaulbryant,YouTube,0
PrinceDouglasC,YouTube,0
TBPInvictus,YouTube,0
VictuzX,YouTube,0
blissbridalja,YouTube,0
tomwatson,Forbes,0
stephenisg33k,YouTube,0
CityNewsTO,Drake,0
MazdaPatterson,YouTube,0
iStoleYourWings,Drake,0
lnmoretti,YouTube,0
LGGuelphStorm,YouTube,0
clickflickca,Drake,0
0liviagreco,BarackObama,0
saintsfanjohnny,JohnCena,0
MystiikMoments,YouTube,0
XxNJKilla94xX,YouTube,0
jermsmit,YouTube,0
oprishkm,YouTube,0
corey_wall,YouTube,0
OCHyundai,YouTube,0
falmatrix2r,YouTube,0
haha_ah,YouTube,0
RealMatSmith,YouTube,0
HexG3_Arts,YouTube,0
joelpontes,YouTube,0
KanaAiysoublood,YouTube,0
HenriqueCRocha,YouTube,0
TrailerMedia,YouTube,0
dabourn,YouTube,0
c0nd9x,YouTube,0
zaqweTW,YouTube,0
erik_ulises,YouTube,0
noelkarl,YouTube,0
rajeev_krish,BillGates,0
wejadeit,ddlovato,0
LSMediaVe,RyanSeacrest,0
TheZwolfenstein,YouTube,0
TheLaughFactory,justinbieber,0
TrailerMedia,YouTube,0
MikeWillder,YouTube,0
dmommye2,NiallOfficial,0
MishaTalavera,BillGates,0
MishaTalavera,elonmusk,0
TEDxKlagenfurt,BillGates,0
grazibrtto,YouTube,0
ofcl7K,BillGates,0
violentsrush,CodySimpson,0
OliveiraEmerson,YouTube,0
ProdigeeTV,YouTube,0
poesreyoflight,MTV,0
poesreyoflight,ddlovato,0
Pyrao,YouTube,0
zusanito,YouTube,0
RajdeepPaulus,Oprah,0
Abril7,YouTube,0
renderplease,BillGates,0
renderplease,elonmusk,0
EonThesis,BillGates,0
northface17,TheEllenShow,0
OneGunFirearms,YouTube,0
Hank__Mardukas,jimmyfallon,0
BeStMaker,YouTube,0
janetjenkins52,BarackObama,0
SAP_Jarret,BillGates,0
Abril7,YouTube,0
FredericLavarde,BillGates,0
noelkarl,YouTube,0
mediatejack,RyanSeacrest,0
mediatejack,elonmusk,0
mediatejack,BillGates,0
nhaslup,YouTube,0
lalabas,verge,0
matthewherper,BillGates,0
Chris301Tweets,YouTube,0
HHfansite,YouTube,0
Killeen81,YouTube,0
vitweeb,YouTube,0
CassidyQuinn,BillGates,0
ItsNotTooLate7,ddlovato,0
Abril7,YouTube,0
ThierryGotWings,YouTube,0
abiiogenesis,YouTube,0
Christiewriting,YouTube,0
kalibarrett,YouTube,0
Vexacus4666,YouTube,0
MayraPurdyB,MTV,0
MayraPurdyB,ddlovato,0
MassageEnvyWA,BillGates,0
365Bristol,BillGates,0
dmbuffer,YouTube,0
jorgecrespotude,YouTube,0
TheSunx96,YouTube,0
MattyIce412,KevinHart4real,0
R_i_c_k,elonmusk,0
R_i_c_k,BillGates,0
ryankeyser,danieltosh,0
cooley945,elonmusk,0
BeachBumOceanDr,enews,0
YesImKayla,YouTube,0
brianward,verge,0
BoomStickChick,YouTube,0
cricantrail,verge,0
263Chat,verge,0
methqueenmab,BillGates,0
lholmes12,mashable,0
doug_gross,BillGates,0
adrz_crr,YouTube,0
Powify,YouTube,0
AlArabiya_Eng,BillGates,0
terryson5,YouTube,0
justresk,YouTube,0
marcsolejurado,YouTube,0
murilosouzacrf,YouTube,0
kattie125678,YouTube,0
JamesDalyLal,YouTube,0
yashwantraj,mashable,0
PattyKellicker,TIME,0
HiImSerenity,YouTube,0
MariaPauIaa,YouTube,0
StuartGamess,YouTube,0
vlb55,YouTube,0
Vilanef,YouTube,0
joshgjohnson,YouTube,0
BlueKokiri,YouTube,0
artiou,YouTube,0
EsdricoXD,YouTube,0
destiny_bolles,YouTube,0
Annggi,YouTube,0
bunyolet,YouTube,0
Carlos__Tamayo,YouTube,0
PrimProtocol,guardian,0
TheRainbowStar,YouTube,0
Sir_Productions,YouTube,0
LogiicallyLight,YouTube,0
martinsaywhat,YouTube,0
efe_kike,YouTube,0
lunsyayy,YouTube,0
2valentina22,Louis_Tomlinson,0
DannyelGamer,YouTube,0
matthews2903,YouTube,0
pxxlxmxrx,YouTube,0
NigglinWigglin,YouTube,0
Berni_Fandubs,YouTube,0
MacximusPrimus,YouTube,0
DRCRocksme,YouTube,0
kyokoM1,YouTube,0
Sara_s77,TheEllenShow,0
NuevasBrujas,YouTube,0
minatogamer2,YouTube,0
GonePlant,YouTube,0
GonePlant,YouTube,0
TheSeba_Rapper,YouTube,0
motor_ed,YouTube,0
ronaldo75791592,YouTube,0
Joannbm__,YouTube,0
Katori88,YouTube,0
rocapri,YouTube,0
jamesTWIT,YouTube,0
rafacs5,YouTube,0
motor_ed,YouTube,0
MrRacso12,YouTube,0
Don_Nico,YouTube,0
skylix09,YouTube,0
baffyscorpion,YouTube,0
GameerVinny,YouTube,0
fireflyacire,YouTube,0
yiiyiilii,YouTube,0
william1234000,YouTube,0
meendesjeh,YouTube,0
zynqs,YouTube,0
guilherme_dylan,YouTube,0
BremnerClan,YouTube,0
MoisesSoto9,YouTube,0
xlucas86x,YouTube,0
LucasFean,YouTube,0
Zumbi_Last,YouTube,0
aria_nx,YouTube,0
StayKiller_,YouTube,0
JBarrientos1,YouTube,0
PepeVeteran44,YouTube,0
sirgrumpy14,YouTube,0
sandoz82,YouTube,0
TWooDVIncominG,YouTube,0
DrizzyJeremiah,YouTube,0
NestorQuiles,YouTube,0
Adriftsnake,YouTube,0
DaSulfur,ManUtd,0
aussiejdb,Luke5SOS,0
lynn89_s,YouTube,0
Milkbox_boy,YouTube,0
tomboytommo,Luke5SOS,0
ChiakaChibeezy,YouTube,0
Myllanin,YouTube,0
luchosterponi98,YouTube,0
Gonzalo_GNFR,YouTube,0
Maico_Triaca,YouTube,0
CastorCro,YouTube,0
NestorQuiles,YouTube,0
kthousando,YouTube,0
Dont_Panic__,YouTube,0
_GonzaloPulido,YouTube,0
VitorCkt,YouTube,0
fstl,YouTube,0
DrvSk8,YouTube,0
YeMingHu,YouTube,0
dizzy425,YouTube,0
Gregwill11,YouTube,0
FenexFire,YouTube,0
Kempdaddy84,YouTube,0
Gueriguino,YouTube,0
iamjairon513,YouTube,0
MikesBrush,YouTube,0
Joao2815Joao,YouTube,0
JustinMoses2,YouTube,0
SmokeNegra,YouTube,0
Ch_Dionne,YouTube,0
Ch_Dionne,YouTube,0
DakenShadow,YouTube,0
kenobidarth,YouTube,0
NatalieMaylinX,Luke5SOS,0
Elyse_Holmes91,Luke5SOS,0
_fdslima,YouTube,0
Cicytindo,YouTube,0
mad_apostolis,YouTube,0
seb1232000,YouTube,0
knarapace,YouTube,0
MatteMeC,YouTube,0
Luka_Arambasic,YouTube,0
MCraftPVP,YouTube,0
R0bert_Gomes,YouTube,0
MerkesGamerADR,YouTube,0
LabsFeuer,YouTube,0
MrLeon211,YouTube,0
Cassius335,YouTube,0
ArnarDb,YouTube,0
COLDPLAYEOL,YouTube,0
love_belfast,YouTube,0
whiskeysadlarry,Harry_Styles,0
whiskeysadlarry,Louis_Tomlinson,0
durgui,YouTube,0
dr_maiskolben,YouTube,0
nicolas_asman,YouTube,0
jvdvs_,YouTube,0
bielgbg,YouTube,0
Ismail_Bl00,YouTube,0
Rodimchenko,YouTube,0
klelinnmar07,YouTube,0
Luka_Arambasic,YouTube,0
EnbyFish420,YouTube,0
okauezin,YouTube,0
wu_joao,YouTube,0
tthiagodomingos,YouTube,0
Dj_Moty,YouTube,0
Thewlader25,YouTube,0
alanfdoex,YouTube,0
BrGnomo,YouTube,0
nathanybr123,YouTube,0
Sweet_Beats_143,YouTube,0
edgefran63,YouTube,0
pabloroldangodi,YouTube,0
pabloroldangodi,YouTube,0
Rodimchenko,YouTube,0
Richard_9824,YouTube,0
chriscam41,YouTube,0
EnchantSniping,YouTube,0
Dorlocor_,YouTube,0
LenosOficial,YouTube,0
J_Windeyer,YouTube,0
RKOConorRKO,YouTube,0
Rodimchenko,YouTube,0
mad_apostolis,YouTube,0
gofishus,YouTube,0
Jonaaa5000,YouTube,0
carvalhobhc,YouTube,0
Abagail_Flare,YouTube,0
BrMadru,YouTube,0
DanielLeite2013,YouTube,0
deadshet1,YouTube,0
SrChurriego,YouTube,0
Allbertito_699,YouTube,0
Maya_Moore7,YouTube,0
barrosogamerX,YouTube,0
A_Singh92,YouTube,0
gustavoo_hms,YouTube,0
ilymik3,YouTube,0
NaniVicencio,YouTube,0
ItsCasualGamer,YouTube,0
RaymonRodenburg,YouTube,0
xiD7OoMe,YouTube,0
mrbaddog28,YouTube,0
javirock73,YouTube,0
gustavoo_hms,YouTube,0
rogyh34,YouTube,0
LuanPer61889671,YouTube,0
Applenoop2,YouTube,0
cortez2471,MileyCyrus,0
mehdialonsoo,YouTube,0
yamil_oyarzun,YouTube,0
EquipeCraft,YouTube,0
greenmacheene99,YouTube,0
onlybrubs_,YouTube,0
COSGUK,YouTube,0
ternacraft,YouTube,0
AgosPendasOk,BarackObama,0
Cassius335,YouTube,0
HiImSerenity,YouTube,0
AAFIRETF,YouTube,0
tonhaodaxj,YouTube,0
davidtorre15,YouTube,0
Pokinho007,YouTube,0
AmeliouseSun,YouTube,0
SebasOvalle,YouTube,0
Rosi_TPWK,YouTube,0
CraftGames7,YouTube,0
diogohe80373659,YouTube,0
Phenom33xx,YouTube,0
RoryPiper,YouTube,0
bryanalvarez,YouTube,0
MsTutozYt,YouTube,0
ZebraMolhado,YouTube,0
miikestuart,YouTube,0
davidtorre15,YouTube,0
SeanFabi,YouTube,0
Curly_Bajan,YouTube,0
makistudion,YouTube,0
Deibydperez,YouTube,0
SilasFLUMC,YouTube,0
twlghtbttrfly,TheRock,0
Tybek47,YouTube,0
SquatchZone,YouTube,0
blu3_m0x,YouTube,0
xPainx911,YouTube,0
spooftroupe,YouTube,0
peedroue,YouTube,0
KombatGames2022,YouTube,0
LinnykerSu,YouTube,0
TheItaloBr,YouTube,0
Lauroohom,YouTube,0
marcules2,YouTube,0
Urbano_Extreme,YouTube,0
LuzBANA16,YouTube,0
Viros,YouTube,0
Dewandeler,YouTube,0
DannyelGamer,YouTube,0
GamersSemNome2,YouTube,0
ElYavierDF,YouTube,0
Montoya504,BillGates,0
anab090,YouTube,0
TeamSaltarex,YouTube,0
grantestevens,YouTube,0
wilsonabula,mashable,0
ChadderManHD,YouTube,0
badcenaa,YouTube,0
maironbitencour,YouTube,0
DaviHaller,YouTube,0
radicalxry,Luke5SOS,0
radicalxry,Michael5SOS,0
555uly,YouTube,0
fagaonline,YouTube,0
NigelChapo,YouTube,0
lastplanet3,YouTube,0
BattosaiZenin,YouTube,0
broccoli_gainz,YouTube,0
GusTheGh0st,YouTube,0
IceBucketWatch,YouTube,0
wethairedlrh,Luke5SOS,0
walidmrealtor,NBA,0
victorcampelo9,YouTube,0
LenosOficial,YouTube,0
ArmandisAmazing,YouTube,0
G709,YouTube,0
MathFu,YouTube,0
juitaaa,TIME,0
pepslpz,YouTube,0
Chukyromero1,YouTube,0
RanTRhino316,YouTube,0
Borgesjoao77,YouTube,0
Charlottee1_,YouTube,0
Zoomsday,YouTube,0
Tacosssssxd,YouTube,0
flarywinkle,YouTube,0
unaiorbe13,YouTube,0
xxxavierxxx10,YouTube,0
LeoRKay8,YouTube,0
HenrriqueDe,YouTube,0
RuthMarieBain,YouTube,0
zaqweTW,YouTube,0
natacha_mino,YouTube,0
lilmissfaj,YouTube,0
LosPateaPelotas,YouTube,0
Anon__Chaos,YouTube,0
xAuzyy,YouTube,0
McDaigen,YouTube,0
arthurcracia,YouTube,0
kokemainar,YouTube,0
rhondiva2000,YouTube,0
EstepBelinda,YouTube,0
NoloCOBRALINK,YouTube,0
YolozwagerYolo,YouTube,0
CamiloGamer96,YouTube,0
Tay_Cloud,YouTube,0
danipollo99,YouTube,0
Raphael_SAL,YouTube,0
joaovaleyt,YouTube,0
Yuiko801,YouTube,0
aflara_,YouTube,0
Akumara__,YouTube,0
killahfam69,YouTube,0
I_do_dream_on,YouTube,0
GamesEnderLord,YouTube,0
pedro_meed,YouTube,0
baker2491,YouTube,0
jenjengle,TIME,0
ibrahim_sayed1,YouTube,0
Satirzinho,YouTube,0
iSmaax1,YouTube,0
thominhas_Gamer,YouTube,0
krulei_kr,YouTube,0
ibrahim_sayed1,YouTube,0
lolasworld123,YouTube,0
Jordanaward12,justinbieber,0
jairmaldonadov,YouTube,0
simonignacio8,YouTube,0
rihannawintour,lindsaylohan,0
tonhaodaxj,YouTube,0
purplezzz201X,YouTube,0
ibrahim_sayed1,YouTube,0
ibrahim_sayed1,YouTube,0
I_do_dream_on,YouTube,0
alanfdoex,YouTube,0
ibrahim_sayed1,YouTube,0
ibrahim_sayed1,YouTube,0
LinkLegendRuss,YouTube,0
lissette613,YouTube,0
ibrahim_sayed1,YouTube,0
irie88s,Forbes,0
UofTMike,Gizmodo,0
monicahillb,YouTube,0
D0ctorBl1nd,YouTube,0
Alee1897,YouTube,0
foolmonstax,YouTube,0
purplezzz201X,YouTube,0
tedlyde,YouTube,0
ibrahim_sayed1,YouTube,0
MarceloZombie,YouTube,0
SmijoskiAxel,YouTube,0
IgorAmorim77,YouTube,0
thecreepersbr,YouTube,0
arthurcracia,YouTube,0
WZNNNN,YouTube,0
gaze_cem1,YouTube,0
lucassxvr,YouTube,0
Nikooh_Cabello,YouTube,0
KevinHuntActor,YouTube,0
barria_felipe,YouTube,0
Benja_verde5,YouTube,0
CreepaKingBrian,YouTube,0
krulei_kr,YouTube,0
resquivel51,YouTube,0
AlexalozaR,YouTube,0
JuuanfraSanchez,YouTube,0
superjavi83,YouTube,0
megamaniatico,YouTube,0
Ajaygolmalgobi,mashable,0
TheAPIRIGOTAFul,YouTube,0
julissabonfante,mashable,0
Pedro_cnm,YouTube,0
Vaasilva_Games,YouTube,0
Vaasilva_Games,YouTube,0
Zurdocuma,YouTube,0
GreenArtNetwork,YouTube,0
ibrahim_sayed1,YouTube,0
pacoLooks4u,YouTube,0
StevenHavelock,YouTube,0
ibrahim_sayed1,YouTube,0
KudiyXD,YouTube,0
TheDamonRs,YouTube,0
Lizfer3D,YouTube,0
RuizAdrip,YouTube,0
ibrahim_sayed1,YouTube,0
APPlERAICING,YouTube,0
Danmajor3,YouTube,0
Thedanny590,YouTube,0
erkoes,mashable,0
luuanassauro,YouTube,0
catorresca8,YouTube,0
Paulinh0Gamer,YouTube,0
EmilyJWoods,YouTube,0
ibrahim_sayed1,YouTube,0
NumbsPalace,YouTube,0
bandloverxo,YouTube,0
Chazquilla,YouTube,0
ms_tracymanning,TIME,0
Babyy_Blaise,YouTube,0
Javier_AVM15,YouTube,0
elenajs_98,AvrilLavigne,0
beeank_m,YouTube,0
Lucas_bat98,YouTube,0
AngryTinox,YouTube,0
GOKU_gamer_x,YouTube,0
verodxd,YouTube,0
Claudia_Botero,mashable,0
GAMERHDNACHO,YouTube,0
AntoineScience,YouTube,0
ibrahim_sayed1,YouTube,0
ChewySmokey,YouTube,0
Heey_AnnaL,YouTube,0
alejand_f,YouTube,0
TDKPvP,YouTube,0
NaxoGT29,YouTube,0
CRISis73,mashable,0
Mu_dos_auau,YouTube,0
nikkoxx450G,YouTube,0
workingclass891,YouTube,0
ibrahim_sayed1,YouTube,0
uhNxZ,YouTube,0
Human_Zero___,mashable,0
InfoCommando,mashable,0
BurroughsClaire,TIME,0
Suvesha04,mashable,0
Savages_56,YouTube,0
sonofzyzz98,YouTube,0
jeanlucasBR1,YouTube,0
alexreznov45,YouTube,0
MrDoido1,YouTube,0
Mr_Enoky,YouTube,0
AdrielPlays21,YouTube,0
alejo0121,YouTube,0
sebablackk,YouTube,0
mfeldman9,RyanSeacrest,0
EmbeddedVideo,mashable,0
mashable,mashable,1
matheus__vent,YouTube,0
mfeldman9,BillGates,0
RafaaHGFX,YouTube,0
revavaluis,YouTube,0
PoderAbrahamer,YouTube,0
angiewiener,YouTube,0
Rawlings_98,YouTube,0
CharlieSquires7,YouTube,0
Awesomeman14,YouTube,0
_jwbjnwolf,YouTube,0
mfeldman9,ActuallyNPH,0
jonigiga_,YouTube,0
Yukikox3,YouTube,0
Alejo_Games,YouTube,0
pipidooor,YouTube,0
pipidooor,YouTube,0
Chusalsa,YouTube,0
Lala_Yosha,YouTube,0
lepi451,YouTube,0
desatidorpz,YouTube,0
ItzNadrox,YouTube,0
soybeanslut,KimKardashian,0
Rodrigo1635GKS,YouTube,0
lipi_craft,YouTube,0
hieu_vp02,YouTube,0
Jane_BK,TIME,0
BMoxOne,YouTube,0
MarcelinhoBox,YouTube,0
LittelBigAJ,YouTube,0
eeldiegox,YouTube,0
La_RexPP,YouTube,0
younes_008,YouTube,0
RAWFootageATL,mashable,0
LeVarThomas,mashable,0
ShaneBreen,mashable,0
AlbertBBin,mashable,0
Koniguetiua,YouTube,0
koni_gamer,YouTube,0
torjjo,YouTube,0
TheISI_XD,YouTube,0
Daisha526,YouTube,0
killerd56,mashable,0
pedroviniciuslr,YouTube,0
_SpiderNerd,YouTube,0
NProspettive,mashable,0
fincalcaterra,mashable,0
laurasorianod,mashable,0
Thankders,YouTube,0
Tneck505,YouTube,0
Lfmorin,mashable,0
YoureLickety,YouTube,0
peqitw,YouTube,0
YoureLickety,YouTube,0
LuckyDogBrands,mashable,0
TravelP0p,mashable,0
Polvoestelar_x,YouTube,0
CursoHootUNO,mashable,0
ContentXpertNet,mashable,0
KBContentWriter,mashable,0
Dunksby,YouTube,0
Viken_shrestha,mashable,0
DanDraperKC,mashable,0
realcatsan,YouTube,0
_jwbjnwolf,YouTube,0
anditttt,mashable,0
JaydipParikh,mashable,0
CaioAHBugari,YouTube,0
RanaFS_yeoja,YouTube,0
Cellbitaaa,YouTube,0
vanbiguous,TIME,0
GoriLariat,YouTube,0
MinionGatin,YouTube,0
00RedPistons00,YouTube,0
pq_pinto,YouTube,0
EricVargasB,YouTube,0
DxTery,YouTube,0
ShannonBuck_,YouTube,0
nicolastoom,YouTube,0
TigahOG,YouTube,0
AngryTinox,YouTube,0
star6wars1,YouTube,0
eduardogeorge13,YouTube,0
lucii9828,YouTube,0
APPlERAICING,YouTube,0
toniartigas,YouTube,0
Real_XCWS_Boss,YouTube,0
francescocipo12,YouTube,0
IamPamellaa,YouTube,0
RapeCrewYT,YouTube,0
FilippoNiglia5,YouTube,0
FilippoNiglia5,YouTube,0
Kabumextreme,YouTube,0
FilippoNiglia5,YouTube,0
Cainho2001Caio,YouTube,0
Danmajor3,YouTube,0
GirlGlitcher,YouTube,0
diogohe80373659,YouTube,0
MakeupCityPop,YouTube,0
AriVlogs,YouTube,0
DarkHektor2,YouTube,0
cpfrann,YouTube,0
c_karlangas,YouTube,0
jesseglenn8,YouTube,0
vitorhugomarqu7,YouTube,0
AlexKazama10,YouTube,0
LuperGamer,YouTube,0
_fraangomes,YouTube,0
Freitas_69_,YouTube,0
Official_KRB,YouTube,0
JessicaMasso,YouTube,0
VicenteRosasR,YouTube,0
Widos5,YouTube,0
KobzarR,YouTube,0
EduKof,YouTube,0
democles45,YouTube,0
Batatudosz,YouTube,0
Batatudosz,YouTube,0
_RBelenn,YouTube,0
ElliComUa,YouTube,0
gir24,YouTube,0
TheAnseriusFk,YouTube,0
Elibuuth,YouTube,0
_senpaiali,YouTube,0
corndog9291,YouTube,0
XxCDawg713xX,YouTube,0
uRelogzin,YouTube,0
erichhiro,YouTube,0
The_Zyrophobia,YouTube,0
